Name,Grade
Mridul Arya,Fair
Md Rehan Sadique,Poor
ANKIT BHALLA,Exceptional
KABIR KEDIA,Exceptional
ARYAN PRASAD,Fair
Amit Ghosh,Exceptional
Brijesh SINGH MOURYA,Poor
Sanjay Dugal,Exceptional
ABHISHEK TALESARA,Very Good
Shubham Grewal,Good
Nitesh Sami,Very Good
Meena Kumari Sharma,Good
Anuradha Ravi,Poor
Kunal Jain,Fair
Anand Mathur,Exceptional
Jain Kranti Gyanchand,Good
LUCKY SINGH,Exceptional
MUDRAGADA RAVI KUMAR,Fair
RITIK JAIN,Very Good
Vivek Yadav,Fair
RISHI SINGH CHHABRA,Exceptional
Ankit Basu,Poor
Sunil Dutta,Poor
Sanjay Rana,Very Good
APOORV KHARE,Good
Vinay Roy,Very Good
KARTHICK SRIDAR,Good
PRADHUMNA RATHORE,Very Good
RITWIK JHA,Good
Shubham Arya,Exceptional
Arvind Bhattacharyya,Good
Kasiviswanathan M,Fair
Sunil kumar,Very Good
Sudhir Dugal,Exceptional
Sonu Saran,Exceptional
Subhasis Gandhi,Poor
Mridul Chauhan,Fair
Manoj Kumar Gupta,Fair
Aneet kumar,Poor
Sonu Mukherjee,Poor
MALVIKA AGARWAL,Fair
Subhasis Soni,Exceptional
SHIVANI GUPTA,Fair
DARGUPALLY MAHIPAL,Exceptional
PREM CHAND GURJAR,Fair
Sagar Kumar,Exceptional
ABHISHEK KARANATH,Fair
PRAKHAR SAXENA,Fair
ATHARVA DHANESH GHADGE,Poor
HIMANSHU BADALA,Very Good
Himanshu Chaudhary,Good
PIYUSH SINGH,Fair
BIBHUTI BHUSAN SARANGI,Poor
Shivam Gokhale,Good
Nikhil Saboo,Exceptional
PARASHAR VARUN,Fair
Ankit Bhargava,Fair
Arshi Meraj,Fair
Sachin Singh,Exceptional
Nitesh Ramaswamy,Poor
Arvind Ramanathan,Good
PRATAP KUMAR BEHERA,Very Good
AMIR,Fair
Anand Basu,Exceptional
Aneet Shah,Very Good
Suman,Good
ABHINAV SINGH NEGI,Very Good
Shubham Goda,Poor
Vishal Bhatia,Poor
Aneet Gupta,Good
Rohit Raju Madke,Poor
Shivram Misra,Good
Jitender Ku. Singh,Exceptional
Koushik Pandit,Exceptional
ANIL KUMAR MEENA,Good
JANANI R. G.,Exceptional
KESIREDDY SHIVA REDDY,Poor
Sanjay Sachdeva,Very Good
POBITRA KUMAR MONDAL,Exceptional
SAMYAK JAIN,Exceptional
Vinay Dhillon,Very Good
AMAN BARYA,Poor
SAMRIDDH BHALLA,Very Good
Rohit Sridhar,Exceptional
ROSHAN KUMAR CHOUDHARY,Good
Subhasis Sharaf,Poor
CHAUDHARI SUSHMEN KAILAS MEENAKSHI,Fair
PUNIT GORA,Very Good
Manisha Malik,Exceptional
RUBELL SEN GOOPTA,Exceptional
Amit Bhavsar,Fair
Samarjeet Bansal,Good
Aneet Goswami,Exceptional
AKSHAY Ganguly,Good
ISHAN JINDAL,Very Good
NIKUNJ GOYAL,Good
Anand Bakshi,Fair
RAVI SUMMY KUMAR,Exceptional
Samarjeet Arya,Exceptional
ANURAJ SAXENA,Fair
AMAN PATEL,Good
Subhasis Bhattacharyya,Exceptional
Rohit Chakraborty,Good
ADARSH KUMAR,Exceptional
Aneet Bhalla,Good
Azfar Shaida,Fair
Sunil Barman,Good
ROOPEN MANGAT,Very Good
RITIK SINGH,Poor
Subhasis Sen,Fair
Nitesh Bhattacharyya,Poor
AKSHAY KUMAR,Exceptional
HIMANSHI,Fair
SHIVAM GUPTA,Exceptional
Shivram Bahl,Poor
RAVI PRATAP SINGH,Very Good
SOUMYAJEET JAISWAL,Exceptional
Gaurav V Jain,Very Good
JASWANT PARIHAR,Very Good
Botcha APPALANAIDU,Poor
Nitesh Apte,Exceptional
SOHAM DASGUPTA,Fair
Vinay Ramaswamy,Poor
Vimlesh Kashyap SINGH,Poor
KAUSHIK GORAI,Fair
Amit Basak,Poor
Chandrashekhar. S. Jawalkar,Very Good
Ankit Datta,Very Good
Sonu Deshmukh,Fair
PAMU RISHIKESH,Good
Shivbihari Sehgal,Exceptional
APOORV PIPLODIYA,Fair
Sudipti Arora,Good
SHUBHAM BHATIA,Fair
Vinay Shah,Fair
BHUPESH GARG,Fair
Danie Roy A.B.,Very Good
Anand Bhatia,Fair
Sunil Chahal,Exceptional
Sudhir Sandhu,Very Good
Shivram Goyal,Exceptional
Amit Banerjee,Very Good
Subhasis Bhargava,Fair
PHURITSHABAM PUSHPA SINGH,Good
Shivram Basu,Very Good
Sonu Gopal,Exceptional
Md Muslim Ansari,Very Good
SHREEYASH GEDA,Good
ANKITA,Very Good
Sudhir Bajwa,Exceptional
Teodrose Atnafu Abegaze,Fair
PRANAV DEV,Exceptional
Sudhir Dube,Fair
Nilesh Mathur,Exceptional
Subhasis Bajwa,Very Good
Nathi Ram,Exceptional
Nilesh Kumar,Poor
ARJAV JAIN,Fair
Nitesh Bhavsar,Very Good
FARHAN AHMAD SHAMIM,Fair
NISHANT PARMAR,Exceptional
MITANSHU GUPTA,Fair
VARUN KUMAR SINGHAL,Exceptional
Sonu Ramanathan,Very Good
Kamlesh Chauhan,Poor
LALHRUAIKIMA,Exceptional
Samarjeet Mehra,Exceptional
Samarjeet Mehrotra,Poor
Arvind Bhargava,Exceptional
SHIVANSH BHAT,Good
Arvind Das,Poor
Tushar Kanti Dey,Fair
TEJAS S M,Exceptional
KUSHAAL GAJAVELLY,Good
AMAR SINGH,Exceptional
Anand Arya,Exceptional
Archit Dangayech,Very Good
Ankit Batta,Fair
Mridul Handa,Good
RUDRAKSH AGRAWAL,Poor
Sunil Bajaj,Very Good
AKSHAY Dhawan,Good
PRITHA HOWLADAR,Very Good
Raeesh Muhammad,Poor
Farhan Musanna,Fair
VISHAL GUSAIWAL,Good
SAGAR DHURWE,Exceptional
Vinay Shetty,Good
AMAN JAISWAL,Very Good
MEENAKSHI AWASTHI,Fair
HARSHIT,Very Good
Satish Jain,Very Good
Samarjeet negi,Good
YASH PANDEY,Very Good
Nitesh shukla,Poor
PULKIT MUNDRA,Very Good
Sonali Jamale,Fair
Shivram Deshpande,Fair
Kamlesh Arora,Very Good
Shubham Singhal,Very Good
AAYUSH CHOPRA,Poor
SASWAT DAS,Fair
Vinay Batta,Very Good
OMMI AKASH,Good
Rahul Tarodiya,Exceptional
RAPAKA VINEETH KUMAR,Very Good
Sanjay Shroff,Good
Aneet Bansal,Very Good
APOORVA KAUSHIK,Fair
Sonu Dasgupta,Poor
PRAJAPATI SANJAY BABULAL,Good
Aneet Soni,Fair
Sunil Chadha,Good
DISHANK MITTAL,Good
Shivbihari Mehta,Fair
Amit Bhatnagar,Good
SUHANI JAIN,Poor
DIVYANSH JAIN,Poor
Mohit Srivastava,Very Good
MOHAMMAD YASSER ARAFAT,Good
JUHI AGGARWAL,Very Good
Sudiksha Aggarwal,Exceptional
AYUSH DHAKA,Fair
Ankit Bhattacharyya,Poor
VIKRANT RANYAL,Good
Subhasis Sood,Good
ASHISH VERMA,Very Good
SUBEK SINGH KHOKHAR,Exceptional
DIVYANSHU KACHHAP,Poor
Vinay Reddy,Exceptional
Sudhir Deol,Very Good
EKTA AGGRAWAL,Very Good
BENDKHALE AMIT CHANDRASHEKHAR,Good
Aneet Shan,Very Good
Aneet Badal,Good
BAJRANG,Poor
Sunil Sankaran,Fair
AKSHAT SRIVASTAVA,Good
Sudhir Sodhi,Exceptional
CHETAN JORWAL,Very Good
ABHISHEK SONI,Very Good
Sunil Mukhopadhyay,Exceptional
Rohit Sinha,Exceptional
Mridul Gandhi,Very Good
YASH H BHARANI,Good
Amit Gandhi,Very Good
Vinay Soni,Exceptional
Subhasis Shah,Very Good
Ribhu,Exceptional
Amit Deol,Very Good
Aparna Dutta,Very Good
ATUL K MEENA,Good
Vishal Singhal,Poor
DIYA MOURYA,Very Good
Arvind Deshpande,Very Good
Tsege Kebede Irena,Good
Vinay Goswami,Fair
Harpreet Singh,Very Good
RUPENDER SINGH,Very Good
ANVESH CHAUHAN,Exceptional
SHREY AGGARWAL,Fair
Sutharavel Muthaiah V. M.,Fair
Nilesh Mukhopadhyay,Fair
Sonu Sankaran,Good
Arvind Rao,Fair
ABHIJIT MONDAL,Exceptional
Vinay Gopal,Fair
Subhasis Sheth,Good
Shivam Chakrabarti,Exceptional
Sonu Bansal,Good
Amit Dyal,Exceptional
AKSHAY Ghose,Fair
Shubham Ahluwalia,Good
ANUPAMA BISWAS,Good
Nitesh Goyal,Poor
AKSHIT GOYAL,Poor
Subhasis Roy,Poor
Mridul Arora,Exceptional
Mridul Ramakrishnan,Exceptional
Muhammed Hashid,Very Good
MOHAMMAD ZARYAB,Very Good
MOHAMMAD ZAKWAN,Good
Ankit Das,Good
Sonu Ramachandran,Very Good
Sonu Sodhi,Good
KARAN SHRIVASTAV,Poor
ADITI DUBEY,Good
ANSHUMAN SHUKLA,Fair
Shivbihari Barman,Exceptional
ROUNIK BALIDA,Good
ASESH SARKAR,Poor
KADUKUNTLA SATHVIKA REDDY,Good
YERICHARLA MARY ASHA LATHA,Very Good
SANJIT AGRAWAL,Good
Mridul Deol,Fair
KULKARNI ANUP SHRIKRISHNA,Good
SHREYAS P,Very Good
Shivli,Good
PRANJAL AGRAWAL,Good
Rakesh Maurya,Very Good
SURYA P. S.,Very Good
TANIKONDA BHOOMIKA,Poor
MEGHA TYAGI,Fair
SOURAV JAIN,Fair
VIPIN MEENA,Exceptional
AKASH GAUTAM,Fair
MALLIKA,Very Good
SEEMA,Good
Subhasis Ahuja,Fair
VINIT GUPTA,Poor
Sudhir Bhagat,Exceptional
NUNUSAVATH NAGENDRA NAIK,Exceptional
JAYATI SHRIVASTAVA,Exceptional
Nav Rattan,Poor
Gaurav,Exceptional
Haider H. Aodah,Fair
Arvind Balakrishnan,Good
MAHIKA,Fair
Vishal Deshpande,Very Good
DIVYAM,Good
ANSHUMAN PRIYADARSHI,Poor
ARBAB ZOHAIB,Very Good
Anand Dyal,Good
RAHUL KUMAR JAISWAL,Poor
Shivram Chada,Good
AVTAR SINGH,Exceptional
Ajai Kumar Sahani,Fair
ARPAN,Poor
DUHAN NEHA RAJKUMAR,Good
Zaid Mohammad,Fair
ANKIT SHARMA,Exceptional
Anand Bhalla,Fair
SUMANT JAT,Very Good
Shivram Chopra,Exceptional
DIVIYA,Good
VIVEK DHAKA,Fair
Mridul Mishra,Very Good
Aneet Arora,Fair
Piyush Tehri,Exceptional
Anand Agrawal,Very Good
RUTHIK KANTILAL JADHAV,Very Good
Ujendra Kumar Komal,Very Good
Vishal Sandhu,Exceptional
Sudhir Boase,Exceptional
LOMASH CHANDRA ACHARYA,Fair
APOORV POSWAL,Fair
Dilbagh Panchal,Exceptional
Anand Chawla,Good
Mridul Goswami,Fair
RAJEEV RANA,Poor
DHEERAJ PARALIYA,Poor
PRAJWAL SRIVASTAVA,Poor
Samarjeet Barman,Fair
Nitesh Gupta,Good
Vrinda Dhingra,Very Good
Samarjeet Das,Good
NISHANT KUMAR,Exceptional
Sanjay Ray,Fair
Sunil Mehta,Fair
YATENDRA SINGH HINUNIA,Exceptional
ARUN KUMAR VARSHNEY,Exceptional
NARENDRA PATEL,Poor
ATANU,Fair
PUSHPENDRA KUMAR VISHWAKARMA,Good
Shivram Bedi,Poor
RISHABH PRAKASH,Exceptional
SATYAM KUMAR,Exceptional
SURYA SAINI,Poor
Sanjay Bansal,Exceptional
PRIYANKA,Exceptional
PALIVELA HARSHA SATYA SAI SREE,Fair
HIMANK SEHGAL,Fair
Nilesh Basak,Very Good
SAJANBIR SINGH,Fair
RISHIKESH CHAUDHARY,Exceptional
SOURABH RAJEY,Good
Mridul Chakrabarti,Exceptional
Vishal Ahuja,Poor
Nitesh Sachdeva,Exceptional
Shubham Bakshi,Very Good
Aneet Dhaliwal,Poor
SHYAM SUNDAR SONI,Very Good
Doreshor Khwairakpam,Exceptional
Sanjay Sarkar,Very Good
Ankita Bisht,Very Good
Mridul Aggarwal,Poor
GIRISH P.R.,Fair
Sunil Sibal,Poor
Subhasis Sanghvi,Very Good
Mithlesh SINGH MOURYA,Poor
HARSHIT JAIN,Good
SUDHIR ROSE,Exceptional
ANMOL CHALANA,Poor
Nandkishor Wasudeorao Kinhekar,Very Good
JASKIRAT SINGH,Good
JITESH SHARMA,Good
AVANTIKA RATHORE,Exceptional
AKSHAY Datta,Fair
Syed Amuth u Rasool Qadri,Good
ASHISH ANAND,Good
Sonu Basu,Fair
SAURABH KANT SHARMA,Very Good
ANKIT BABU,Very Good
RAVI CHANDRA VADITHIA,Good
SAURABH KISHORE OJHA,Exceptional
UIKEY PRAMEGH PRASHANT,Very Good
Samarjeet Misra,Poor
Anand Bhattacharyya,Very Good
Nitesh Garg,Poor
AKSHAY Bhattacharyya,Good
Aneet Saini,Exceptional
NRAPENDRA SINGH RANA,Very Good
Shivam Chandra,Very Good
SAKKERI RAMYA,Fair
Nitesh Roy,Very Good
Sudhir Sarkar,Good
SACHIN KHETAN,Good
ARYAN SINGH SURYAVANSHI,Fair
ANUPAM KUMARI,Fair
ARIHANT JAIN,Exceptional
SHIVAM MEENA,Poor
TUSHAR GOYAL,Fair
Nitesh Shetty,Good
Aneet Dixit,Fair
ANNU,Very Good
Sanjay Mehrotra,Very Good
Devender Kumar Saini,Poor
JALADA GANESH,Very Good
Sanjay Chandran,Poor
MADHUMITA PAUL,Fair
Santosh Singh Rathore,Poor
Amit Mehrotra,Fair
NEELESH SHARMA,Good
PRASHANT MISRA,Very Good
Sanjay Sen,Poor
Shubham Gour,Exceptional
T SUDHAKAR,Exceptional
RAM KRISHNA VERMA,Fair
Sudhir Desai,Fair
Arvind Mehra,Exceptional
RETIWALA HARSH PRAKASH,Fair
VAIBHAV SHARMA,Fair
Aneet Ganguly,Fair
RAKSHIT SELOT,Fair
KRISHAN UPADHYAY,Good
DEEPANSHU MATIA,Poor
SHIVAM AGARWAL,Fair
PRASANNADEEP DAS,Exceptional
Sudhir Shetty,Poor
TATIREDDY DEVARAJULU REDDY,Very Good
Vinit,Very Good
SHIVENDRA SINGH,Fair
Sudhir Mishra,Exceptional
SWAPNIL MEENA,Good
KAMLESH KUMAR,Very Good
Sunil Solanki,Fair
SALONI SHARMA,Good
Shivam Dhaliwal,Exceptional
Aneet Ghosh,Good
Nitesh Chandran,Very Good
AJIT PANT,Good
SUKANYA,Exceptional
NITIN YADAV,Fair
Sudhir Sibal,Exceptional
TATHAGAT CHAURASIYA,Fair
Shubham Bajwa,Fair
SHIVANSHU RAJ SHRIVASTAVA,Good
Neha Gupta,Good
SHANTANU,Fair
Anand Arora,Very Good
YASHASWI JAISWAL,Very Good
Ankit Bhandari,Exceptional
Godaju Ashwin Kumar,Poor
YOGENDRA MEGHWAL,Fair
YUGANTAR ARYA,Exceptional
PAWAN RAWAL,Poor
Mridul Sinha,Very Good
Sonu Bhargava,Fair
SANYAM AGRAWAL,Very Good
Sunil Boase,Exceptional
Nitesh Desai,Very Good
Sudhir Goda,Good
Sunil Ghosh,Good
Ankit Dube,Poor
RAVI KALER,Fair
Naushad Alam,Good
HARISH SHEORAN,Good
Ankit Dasgupta,Fair
Deepak Kumar,Very Good
Sudhir Shah,Fair
GOVIND IYER,Poor
RAUNAK MANJU,Exceptional
MALYALA NIKHIL TEJA,Fair
NAMAN PESRICHA,Fair
Samarjeet Chakraborty,Good
Shubham Gandhi,Very Good
Nilesh Dyal,Exceptional
Amit Bhagat,Poor
Vishal Brahmbhatt,Good
Shubham Dasgupta,Fair
Subhasis Chandran,Exceptional
Vinay negi,Very Good
Umesh Kumar Vishwakarma,Exceptional
RAUSHAN KUMAR SINGH,Exceptional
Subhasis Grewal,Poor
ROHAN MALLICK,Good
Tarun Kumar Verma,Exceptional
Nitesh Bhagat,Very Good
Aneet Singhal,Very Good
PURVA DUA,Poor
Arvind Chahal,Good
VISHAL KUMAR MAURYA,Exceptional
AMRITHA M,Good
Shivram Handa,Fair
ANFAL ANSARI,Very Good
Sehdev Kumar,Exceptional
RISHIKA ATAL,Exceptional
ANUJ KALPESH JOSHI,Poor
RITIKESH RAMDAS DESHBHRATAR,Very Good
Ankit Arya,Fair
PALLAVI SINGH,Good
ADITYA AVINASH KANFADE,Exceptional
ASHUTOSH GUPTA,Poor
PRABHASH KUMAR JHA,Very Good
Shivam Chaudhary,Poor
Subhasis Mehrotra,Good
Arvind Chandran,Poor
HARSHIT VERMA,Very Good
SHIVAM BHATI,Exceptional
RISHABH SHARMA,Fair
ADHAM MOREI ALKADI,Fair
Sonu Chand,Good
Rohit Bhatia,Exceptional
KANISHK GANDHI,Poor
Nitesh Chadha,Exceptional
Arvind Arya,Exceptional
NAVEEN KUMAR,Exceptional
Samarjeet Bhatia,Exceptional
Rohit Dhaliwal,Fair
Abdullah Ahmad,Poor
HARSH KESARWANI,Good
ASTHA SHARMA,Good
Ankit Sami,Exceptional
Sunil Sehgal,Good
DHARMENDRA,Poor
Amit Deshpande,Exceptional
Rohit Chaudhari,Good
Vinay Chopra,Exceptional
Shubham Chaudhari,Exceptional
Sunil Desai,Exceptional
Shivam Nagar,Good
AUNG KYAW KYAW,Fair
Anand Chand,Exceptional
Mridul Banerjee,Very Good
KARAN LAMBA,Fair
Kanike Rajesh,Very Good
John Samson Khalkho,Fair
Sunil Deshpande,Exceptional
Khyati Tamta,Exceptional
PURVA CHINIYA,Fair
ANKIT KUMAR,Poor
Harpreet Kaur Aasi,Poor
Himanshu Sharma,Good
JAYTI SAUMYA,Poor
Anand Gill,Fair
PRIYANSHI JAISWAL,Poor
Mithlesh Kashyap SINGH,Poor
Sunil Sinhmar,Fair
Anand Bahri,Poor
Ankit Soni,Exceptional
TARUN KUMAR KULSHRESTHA,Fair
Vinay Mukhopadhyay,Good
KHAWAHISH ARORA,Poor
Shedbale Amit Subhash,Fair
Akhilesh SINGH MOURYA,Poor
Snigdhendubala Pradhan,Very Good
Mridul Mehrotra,Very Good
Vinay Ahluwalia,Poor
Anand Apte,Exceptional
Shubham Boase,Exceptional
HARISH SHARMA,Fair
AMISH GARG,Poor
JYOTI PATEL,Fair
VIVEK SINGH THAKUR,Fair
Kshama Gupta,Exceptional
DEVANSH JOSHI,Exceptional
Vinay Gill,Very Good
ANKUR SHARMA,Poor
KARTIK RAJ SHEKHAR,Exceptional
Kamlesh Bhatnagar,Exceptional
YASH CHAUDHARY,Good
Shivam Gandhi,Exceptional
RABI NARAYAN MOHANTY,Fair
Vishal Mehta,Poor
JAI RAJ,Fair
Mridul Ghose,Very Good
MANASWINEE KAR,Fair
MANROOP SINGH,Very Good
RITIK ANAND,Good
M John Robert Prince,Good
Mridul Shroff,Fair
Vinay Shan,Fair
Shivbihari Grewal,Poor
Sanjay Bhatia,Very Good
CHANDNI BENIWAL,Very Good
Ankit Bajaj,Good
VIVEK PARMAR,Good
Tina Tomer,Very Good
DHRUV KOTHARI,Very Good
Shivbihari Dasgupta,Very Good
SANKHADEEP GAIN,Poor
AKSHAY Barman,Fair
MAHENDRA KUMAR,Good
ABHISHEK BAGARIA,Good
UMASHANKAR TRIPATHI,Exceptional
Shubham Sachdeva,Good
Arvind Bajaj,Very Good
Shubham Batta,Exceptional
SHASHWAT GUPTA,Exceptional
Sonu Dugal,Exceptional
Rohit Dhillon,Poor
KISHAN KUMAR,Fair
PRANKUSH GARG,Exceptional
Dhanavath Suresh,Poor
PRASANTA KUMAR MOHANTY,Very Good
Rohit Rajan,Very Good
THIGALE SWAPNIL MILIND,Very Good
RIYA BHALLA,Very Good
Nitesh Misra,Poor
Shubham Bhatia,Good
Nilesh Ghose,Good
SNEHA JAIN,Fair
KOLI AKSHAY AMBADAS,Fair
Aneet Roy,Good
Ankush,Fair
Nitesh Mathur,Poor
NAMAN MIRAJKAR,Poor
BIPUL,Exceptional
Chinmaya K A,Poor
Subhasis Saini,Very Good
Sanjay Goda,Very Good
MOHAMMAD ASIF,Fair
SANDHYA PRAJAPATI,Fair
Mithlesh MOURYA SINGH,Poor
GAUD PARTH VIJAY,Good
Samarjeet Raj,Poor
Nilesh Chauhan,Fair
Vinay Basu,Poor
Aneet Das,Poor
RAM SINGH,Very Good
K.S.Sajan,Very Good
Arvind Mehrotra,Very Good
AMGOTH BHARATH NAIK,Fair
ROSHAN KUMAR,Fair
Vishal shukla,Fair
Shubham Apte,Poor
Mridul Dube,Exceptional
ARUN KUMAR,Good
BHARAT SINGH RAJPUROHIT,Good
Subhasis Saran,Poor
WASNIK GAURAV RAMESH,Exceptional
Vishal Bhandari,Very Good
Sudhir Chakraborty,Fair
Ankit Sachdev,Exceptional
Shivbihari Atwal,Exceptional
Subhasis Bajaj,Good
DHEERAJ,Exceptional
Kamlesh Bhandari,Poor
PRATEEK SINGH,Exceptional
Mridul Mathur,Fair
RAN BIR SINGH,Good
Neetu Joshi,Good
Vishal Ganguly,Fair
Samarjeet Ranganathan,Fair
Anand Dube,Exceptional
Sunil Goswami,Exceptional
GANDHI RONNIE,Very Good
DINESH CHOUDHARY,Good
Amit,Very Good
ANIL SINGH,Exceptional
Sanjay Sinha,Fair
PAWAN KUMAR BAGRI,Very Good
PRINCE KUMAR,Exceptional
Nisha Dhiman,Good
Vinay Sachdev,Poor
Sonu Chawla,Exceptional
NIMMATURI KOUSHIK SAI,Exceptional
SATYAM ARORA,Poor
Sunil Apte,Fair
Sanjay Das,Exceptional
Arvind Ramakrishnan,Good
Ladhane Kiran Baburao,Good
ADARSH YADAV,Good
ABHISHEK MISHRA,Exceptional
SAMBAIAH PELLURI,Very Good
AKSHAY Pandey,Very Good
SHIVAM GARG,Very Good
RAJNEESH RAGHAV TAMTA,Poor
Sudhir Misra,Fair
ABHISHEK SARONIYA,Fair
ANCHIT PROCH,Poor
ABHINAV CHHILLAR,Very Good
HARSHIT YADAV,Good
Raveesh Pratap Singh,Exceptional
JATAN,Good
Amit Chandra,Exceptional
Vishal Gandhi,Very Good
Sani Biswas,Exceptional
Samarjeet Bahri,Poor
Tarlochan Singh,Good
NIKHIL RAJALWAL,Very Good
BIKASH MONDAL,Very Good
Pradeep Kumar,Good
Shubham Pandey,Poor
VIDHIT JAIN,Very Good
Amit Bajwa,Very Good
SWAPNIL AGRAWAL,Very Good
APAN JAIN,Poor
ANKIT CHAWLA,Fair
Rohit Saxena,Poor
Shubham Sharaf,Good
ABHISHEK RAI,Exceptional
Kamlesh MOURYA SINGH,Poor
Vishal Bajwa,Very Good
Bhishm Singh Khati,Very Good
Nitesh Dube,Poor
PAWAN KUMAR,Exceptional
PESANGI SATYA SWAROOP,Good
SUMAN,Exceptional
Vinay Dave,Good
Nilesh Chand,Fair
MUSKAN VIVEK AANAND,Very Good
VADTHYAVATH SHIVA,Exceptional
Amit Ghose,Fair
AKSHAY Desai,Exceptional
Ravindra Singh Bisht,Fair
LALIT KUMAR SAINI,Exceptional
GURTEJ SINGH,Exceptional
YASH ARYA,Fair
Aneet Handa,Poor
Nitesh Balasubramanian,Fair
Samarjeet Seth,Exceptional
Sudhir Chakrabarti,Good
Ritu Raj,Fair
Yogesh Kumar Sariya,Good
SAURABH TRIPATHI,Poor
Vishal Ramachandran,Good
YATIN KHANNA,Very Good
Jai Kishan Kasaudhan,Poor
Sonu Handa,Poor
Vishal Sanghvi,Good
Arvind Singh,Good
Sonu Dyal,Poor
AJIT KUMAR UPADHIYA,Fair
Rohit Basak,Fair
AKANKSHA SANGEET,Exceptional
LAKSHAY BAJAJ,Exceptional
KUNSOTH PUNNAMCHAND NAIK,Poor
ROHIT ASHIWAL,Poor
SACHIN KUMAR,Fair
Brijesh Ramchandra Iyer,Good
Vinay Bhandari,Good
ARCHANA KUMARI,Fair
Nilesh Chada,Very Good
BADE ROHIT PANDURANG,Poor
Mridul Bhavsar,Good
Anand Dixit,Exceptional
Mridul Chaudhari,Exceptional
BHOSLE RUSHIKESH SHAMRAO,Very Good
Arvind Sengupta,Poor
Arvind Sarkar,Fair
SACHIDANANDA SEN,Fair
Shivbihari Bajaj,Poor
AMIT KUMAR MEENA,Good
PRANAV KUMAR,Poor
SHWETANK AGRAWAL,Exceptional
LAKHAN SARDA,Fair
TRIPTI GARG,Exceptional
Mridul Ramanathan,Very Good
Sudhir Sengupta,Very Good
Avadhesh MOURYA SINGH,Poor
Sudhir Reddy,Good
MANISH SINGH YADAV,Poor
SUBODH YADAV,Good
MOHIT CHOUDHARY,Exceptional
ARPIT PALIWAL,Very Good
SAHIL VERMA,Fair
AKSHAY Banerjee,Fair
SUMIT VARDHAN,Poor
Vishal negi,Good
GHANSHYAM THAKUR,Exceptional
MANISH DHAKA,Very Good
AKASH VERMA,Exceptional
Amit Agrawal,Good
CHANDAN KUMAR,Very Good
Vinay Chahal,Very Good
RANJAN SINGH,Very Good
Ankit Handa,Good
Subhasis Chatterjee,Very Good
Shivbihari Dhaliwal,Fair
N KISHORE BABU,Good
TUSHAR,Poor
ASHUTOSH CHAUBEY,Fair
SHASHI KUMAR,Good
Nitesh Seshadri,Poor
JITENDRA MEENA,Very Good
BUDDE SANDEEP,Good
Sunil Dalal,Very Good
Afzal Sikander,Very Good
TANVI JOSHI,Good
Aneet Raj,Exceptional
NIKHIL DUGGAL,Good
Anuj Panwar,Very Good
SHALINI,Fair
Harshit Mahandra,Fair
MAYANK GAUTAM,Fair
SAURABH SHARMA,Very Good
Pandya Divyang Harivadan,Good
Mridul Chatterjee,Good
DIVYANSHU TIWARI,Good
Nitesh Ahluwalia,Exceptional
UJJAWAL SHARMA,Exceptional
Vishal Arora,Good
MRIDUL AGARWAL,Good
Vinay Dhaliwal,Fair
Yogesh Udaykrishna Shah,Poor
AARZOO,Very Good
Vishal Bansal,Good
Mridul Sehgal,Exceptional
SHAILESH KUMAR,Fair
SHIVANSH MATHUR,Good
Mridul negi,Good
Sudhir Bhattacharyya,Good
SHIVIKA JAIN,Fair
NEERAJ KUMAR SALVI,Good
Shivbihari Balakrishnan,Exceptional
KUNDAN NAGAR,Poor
AKSHAY Dhillon,Very Good
AGARWAL KARAN DEVINDER,Exceptional
Kamlesh Chada,Very Good
SRASTI SETHI,Poor
PRAGYA AGRAWAL,Good
Sunil Bakshi,Fair
Mridul Chada,Exceptional
AKSHAY Boase,Poor
Ranveer Singh Shekhawat,Good
Vishal Chopra,Good
Arvind Grewal,Good
HARSHIT GARG,Good
Abhishek Singh,Very Good
Gananath Doulat Thakre,Exceptional
Nishant Gautam,Good
NIDHI PANDIT,Good
Sonu Shetty,Very Good
RUCHI AWASTHI,Exceptional
SAYNA ANAND,Exceptional
Ankit Savant,Very Good
SAMIKSHA JAIN,Fair
SHANTANU CHANDRA,Very Good
RISHABH TANWAR,Exceptional
SURAJ KUMAR CHAURASIYA,Poor
SAJAN KUMAR,Fair
AKSHAY Bahri,Fair
Arvind Goda,Very Good
MUKUL CHAUDHARY,Very Good
BIVALKAR MANDAR KISAN,Good
Raj Kumar Garg,Very Good
Rohit Raman,Very Good
DAGDIYA PIYUSH RAJESH,Exceptional
Padma Ganasala,Poor
Shivam Bhavsar,Poor
SHIV NARAYAN KANKARWARE,Good
Aneet Dubey,Very Good
Ankit Chandra,Fair
Vinay Sinha,Fair
Ankit Bahl,Very Good
PRANJAL GUPTA,Poor
Amar Prakash Pandey,Poor
Mridul Dhaliwal,Good
Shahrukh Alvi,Exceptional
Shivram Dhawan,Good
Arvind Chawla,Good
Arvind Sami,Fair
Sunil Mukherjee,Poor
Tejveer,Poor
KUMAR ABHISHEK,Good
Vinay Shukla,Exceptional
Shivam Mathur,Fair
DABHI DHRUVIT SANJAYSINH,Good
Rohit Chada,Very Good
ARPIT SHRIVASTAVA,Very Good
SANJEEV SHUKLA,Exceptional
B. GOWTHAM BALASUNDARAM,Fair
SOURABH PATIL,Good
RAHUL JAISWAL,Good
